run_id,timestamp_utc,git_commit,git_dirty,kernel_ref,kernel_version,description,notebook_runtime_sec,n_features,n_folds,cv_seed,fold_auc_mean,fold_auc_std,final_oof_auc,public_lb_score,private_lb_score,preds_dir,lgb_oof_auc,run_tag,engineered,best_iters,fold_aucs,model_seed,te_cols,xgb_oof_auc,cat_oof_auc,mlp_oof_auc,realmlp_oof_auc,ftt_oof_auc,tabtf_oof_auc,node_oof_auc,lookupt_oof_auc,tabm_oof_auc,mnca_oof_auc,notes
ba6c676a,2026-08-03T01:31:15+00:00,3761365fbe20cc46bbb8d5d4830415112a145e87,False,gcarno/eda-s6e8,2.0,"v1 anchor: raw-feature 5-fold LightGBM, no FE",381.2,12.0,5.0,42.0,0.963326,0.000538,0.96332,0.965,,experiments/preds/ba6c676a,0.96332,,,,,,,,,,,,,,,,,"PURPOSE: anchor run, not a competitive attempt. Establishes the first (OOF, LB) pair so the OOF<->LB relationship can eventually be measured (playbook s4) and a gate set. HYPOTHESIS: none - this is the measuring instrument, not a probe. SETUP: 12 raw features, no FE, LightGBM near-default (lr 0.05, num_leaves 31, n_estimators cap 8000, early stop 100), frozen StratifiedKFold(5, shuffle=True, random_state=42), categoricals as pandas category with a train-union-test vocab (unsupervised label mapping, not a leak). LOCAL RESULT: OOF AUC 0.963320, folds [0.962584, 0.963192, 0.963605, 0.964183, 0.963065], spread 0.0016, best_iters [3000, 2128, 2145, 2317, 2255] (cap 8000 does not bind - verified by assert). EDA FINDINGS: (1) missingness is uninformative - every missing-indicator scores AUC ~0.500, so indicator features are noise and the train/test null-rate gaps are not drift; (2) no train/test distribution drift on any column (max KS 0.0; max Cramers V 0.0); (3) marginal signal is concentrated in screen-time (daily_screen_time 0.890, weekend_screen_time 0.881, social_media 0.858) BUT split-count importance ranks notifications_per_day 1st and app_opens_per_day 2nd despite marginal AUCs of 0.492 and 0.541 - rank gaps +8 and +4. Those two are interaction-only; marginal-signal feature selection would have dropped exactly what the model leans on hardest. NEXT PROBE (highest prior): explicit interaction terms notifications/app_opens, app_opens/daily_screen_time, notifications/daily_screen_time. CAVEAT: early stopping picks the tree count on the fold it then scores, so OOF is slightly optimistic - constant across runs, so comparisons are unaffected."
22de9888,2026-08-03T01:57:20+00:00,826d5de846c49cbebdf106ac419fd201e52c6693,True,local,,"A1 seed twin: model_seed 42->43, nothing else",210.6,12.0,5.0,42.0,0.963266,0.00061,0.963254,0.96491,,experiments/preds/22de9888,0.963254,A1_seed_twin,,,,,,,,,,,,,,,,"PURPOSE: measure the OOF noise floor to set a PROVISIONAL gate. HYPOTHESIS: none - this is an instrument, not a probe. TEST: strict twin of champion ba6c676a, only LightGBM random_state changes (42->43); the CV partition is untouched so the OOF rows are identical. GATE: n/a. INTERPRETATION: whatever |delta OOF| appears here is how much OOF moves when NOTHING meaningful changed, so any future delta below it is noise. Provisional gate = max(this delta, 3x paired-bootstrap SE from compare_oof.py). This is a FLOOR only - it captures estimation noise but not OOF->LB transfer noise, so it will be too permissive rather than too strict, and gets replaced by the section-4 residual sigma once ~10 paired runs exist."
66e3dede,2026-08-03T02:06:36+00:00,6ce571f3ccc131de8c47470c4db81f2087b1a404,False,local,,"B1: interaction ratios (opens_per_hour, notif_per_hour, notif_per_open)",212.1,15.0,5.0,42.0,0.963054,0.000884,0.963047,0.96478,,experiments/preds/66e3dede,0.963047,B1_interaction,"opens_per_hour,notif_per_hour,notif_per_open",,,,,,,,,,,,,,,"HYPOTHESIS: notifications_per_day and app_opens_per_day rank 9th/6th of 12 on marginal AUC (0.492/0.541) but 1st/2nd on split usage. A GBDT cannot express x/y with axis-aligned splits, so it is burning capacity approximating these ratios; supplying them explicitly should free that capacity. MECHANISM PREDICTED: split usage should shift OFF the raw notifications/app_opens columns and ONTO the new ratios, and OOF should rise. PRE-SCREEN (read-only, no training): notif_per_hour solo AUC 0.2639 (lift 0.236, inverted) vs 0.492 for the raw column; opens_per_hour 0.3024 (lift 0.198) vs 0.541. GATE (pre-registered BEFORE seeing the result): +0.0002 OOF, = 3x the measured seed-twin delta of 0.000066 from run 22de9888; 3x paired-bootstrap SE is 0.000089, so 0.0002 is the conservative choice. PROVISIONAL - replaced by the section-4 residual sigma once ~10 paired runs exist. TEST: strict twin of champion ba6c676a, only fe_interaction flips False->True. WATCH: a ratio is NaN if either operand is missing, so these cover ~78% of rows vs ~90% for the raw columns; if the probe underperforms its solo AUC, check coverage before concluding the family is dead."
6b671f87,2026-08-03T02:19:30+00:00,6ce571f3ccc131de8c47470c4db81f2087b1a404,True,local,,A2a: champion with early_stop 100->400,648.7,12.0,5.0,42.0,0.963408,0.000555,0.963405,0.96521,,experiments/preds/6b671f87,0.963405,A2_champ_es400,,,,,,,,,,,,,,,,"PURPOSE: isolate an early-stopping confound found in B1, not a feature probe. FINDING THAT PROMPTED IT: B1's entire loss (-0.000273) came from fold 0, whose best_iter collapsed 3000->1055 while folds 2/3/4 were flat within noise; fold AUC std rose 0.000538->0.000884. On a plateau this flat, patience=100 lets a fold quit while still improving, injecting per-fold noise of order 0.001 - which SWAMPS the +0.0002 gate and would corrupt every probe in B2-B5 identically. HYPOTHESIS: patience 400 stabilises best_iter selection and shrinks fold-AUC std. TEST: strict twin of champion ba6c676a, only early_stop changes. GATE: this is a harness measurement, not a shipping decision - judged on fold_auc_std and on whether fold 0's best_iter stops collapsing, not on OOF alone."
f64e2781,2026-08-03T02:52:42+00:00,6ce571f3ccc131de8c47470c4db81f2087b1a404,True,local,,"B6: per-value target encoding of all 9 numeric columns (nested, fold-safe)",438.4,21.0,5.0,42.0,0.966388,0.000413,0.966384,0.96788,,experiments/preds/f64e2781,0.966384,B6_target_encoding,,1765 1913 2614 1161 1847,0.965714 0.966473 0.966844 0.966749 0.966161,42.0,,,,,,,,,,,,"HYPOTHESIS: value->target is NON-MONOTONE, so no unsupervised transform can capture it but a supervised per-value lookup can. MECHANISM: notifications_per_day values carry positive rates spanning 0.119..0.986 while Pearson(value,rate)=-0.044 and only 47.8pct of steps increase - AUC sees only monotone association (raw 0.492), a tree CAN carve individual values (hence its top split-usage rank), a ratio CANNOT (hence B1's failure). This is KAGGLE_PLAYBOOK.md section 6: no unsupervised binning recreates a value->label mapping; B1 was exactly that forbidden imitation. GATE: +0.0002 vs A2a (6b671f87, OOF 0.963405). RESULT: OOF 0.966384, +0.002979 = ~15x gate, ~45x seed noise. LEAK AUDIT: train/val encoding-AUC gaps -0.0012..+0.0025 (singleton columns NEGATIVE, opposite of leakage); fold std FELL 0.000555->0.000413 and spread 0.001656->0.001130 (a leak inflates both); best_iter fell 3000-3998 -> 1161-2614, i.e. the model converges faster given information it previously built split-by-split - the predicted mechanism. PRE-REGISTERED FALSIFICATION: calibration (n=4, Spearman +1.000, residual sigma 0.000064) predicts LB = OOF + 0.001719 = 0.96810 +/- 0.0002. An LB materially below that means the OOF is inflated and the encoder leaks despite the audit. Recorded BEFORE submitting."
6e3dd7c3,2026-08-03T03:09:15+00:00,3141097613d72bfb546ecd9dbd97de74b81f53e3,True,local,,B7: add target-encoded cross notifications_per_day x app_opens_per_day,495.5,22.0,5.0,42.0,0.966361,0.000503,0.966353,0.96806,,experiments/preds/6e3dd7c3,0.966353,B7_te_cross,,1982 1300 2123 2386 3138,0.96561 0.966102 0.966738 0.967061 0.966297,42.0,,,,,,,,,,,,"HYPOTHESIS: if the single-column value->target relation is a lookup table (confirmed in B6), the PAIRWISE relation may be too. A cross is the only encoding expressing 'this COMBINATION of values' rather than 'this value of x'. Supervised form of what B1 attempted with ratios and failed at. TEST: strict twin of B6 (f64e2781, OOF 0.966384), only te_crosses differs. GATE: +0.0002 OOF vs B6; same family so the 0.0002 TE-family offset does not apply. RISK: cardinality - up to 38k cells over 691k rows (~18/cell) vs ~2700 rows/value for single columns, so per-row self-influence rises ~0.03pct -> ~3pct. Nesting and smoothing become load-bearing, and the train/val gap audit (which had NO power on single columns: a deliberately leaky fit scored only +0.0008) becomes a genuine test. DISQUALIFIER: gap > +0.02 on the cross column means leak, regardless of OOF. PREDICTED LB if it clears: OOF + 0.001496 (TE-family offset), NOT + 0.001719."
9e68c7ce,2026-08-03T03:18:20+00:00,8dac306aad1c1918714b6ac3f277b1633f89c1e0,False,local,,"B8: capacity - num_leaves 31->255, min_child_samples 20->50",381.7,21.0,5.0,42.0,0.966139,0.000467,0.966135,0.96781,,experiments/preds/9e68c7ce,0.966135,B8_leaves255,,313 283 288 384 327,0.965411 0.966238 0.966439 0.966752 0.965853,42.0,age daily_screen_time_hours social_media_hours gaming_hours work_study_hours sleep_hours notifications_per_day app_opens_per_day weekend_screen_time,,,,,,,,,,,"HYPOTHESIS: num_leaves=31 is the LightGBM default and is under-capacity for 691k rows; the target-encoded model already converges in ~1100-2600 trees (down from 3000-4000 pre-TE), which suggests it is depth-limited rather than iteration-limited. min_child_samples raised 20->50 alongside to keep leaves populated at higher capacity - NOTE this makes it a 2-parameter change within the single lgb_params field, so it is a capacity-BUNDLE probe, not a clean one-parameter twin; if it clears, a follow-up must separate the two. TEST: twin of B6 (f64e2781, OOF 0.966384). GATE: +0.0002 OOF. WATCH: overfitting shows as best_iter collapsing while OOF falls; if fold std rises sharply, capacity is too high."
7ebde432,2026-08-03T03:57:56+00:00,8dac306aad1c1918714b6ac3f277b1633f89c1e0,True,local,,B10: XGBoost screening run on the B6 target-encoded feature set,387.1,21.0,5.0,42.0,0.966633,0.000416,0.966632,,,experiments/preds/7ebde432,,B10_xgb_screen,,872 854 916 948 916,0.965978 0.966793 0.966902 0.967141 0.966353,42.0,age daily_screen_time_hours social_media_hours gaming_hours work_study_hours sleep_hours notifications_per_day app_opens_per_day weekend_screen_time,0.966632,,,,,,,,,,"PURPOSE: section 5 ensemble axis - is there a second STRONG and DECORRELATED learner? NOT a strict twin (different learner; lr 0.10 x 1500 rounds chosen to approximate lr 0.05 x 3000 total shrinkage within the local 10-min budget), so its solo OOF is NOT comparable to B6's at gate resolution. The comparable question is disagreement vs B6 on identical OOF rows, and whether a fixed-ratio blend beats B6 on OOF. Section 6: high disagreement WITHOUT competitive solo strength is noise wearing a costume. Not submitted - screening offline now that calibration licenses it."
b171c0cf,2026-08-03T04:05:19+00:00,8dac306aad1c1918714b6ac3f277b1633f89c1e0,,blend,,"blend f64e2781+7ebde432 weights [0.5, 0.5]",,,,,,,0.966902,0.96831,,experiments/preds/b171c0cf,,blend,,,,,,,,,,,,,,,,"Section 5 blend: B6 LightGBM + B10 XGBoost, both on the target-encoded feature set, fixed round weights chosen by NESTED CV (ratio picked on 4 folds, scored on the held-out 5th) so the justifying number is not the number the weight was fitted on. Nested CV chose 1:1 in 4 of 5 folds; held-out gain over the best solo +0.000263, clearing the +0.0002 gate. Disagreement between the two legs is 1.931pct against a 1.450pct seed-noise floor (run 22de9888), so the diversity is modest but real and comes WITH competitive solo strength - not section 6's 'noise wearing a costume'. Rank-averaging scored 0.966911 vs probability-averaging 0.966902, indistinguishable, so the simpler probability average is used. Deliberately NOT hill-climbed: section 5 records that a simplex search over 51 models bought +0.00014 (~0.5 sigma of pure selection bias) and once collapsed to weight 1.0 on a single model."
6a091632,2026-08-03T14:33:26+00:00,8e02cfc848e68850bf2c1f0fc3109a9373b74f51,False,gcarno/s6e8-model,,C1: learning_rate 0.05->0.02 on the B6 target-encoded feature set (Kaggle kernel),1630.3,21.0,5.0,42.0,0.966606,0.000436,0.966604,0.96802,,experiments/preds/6a091632,0.966604,C1_lr02,,4670 5239 4775 5289 6267,0.96584 0.966722 0.966899 0.9671 0.966467,42.0,age daily_screen_time_hours social_media_hours gaming_hours work_study_hours sleep_hours notifications_per_day app_opens_per_day weekend_screen_time,,,,,,,,,,,"HYPOTHESIS: smaller step size with proportionally more trees finds a finer optimum; standard GBDT behaviour, typically worth +0.0005..0.001. Motivated by B8, which showed the model is NOT depth-limited (num_leaves 255 collapsed best_iter to ~300 and LOST 0.000249), pointing at step size rather than capacity as the remaining optimisation lever. WHY ON KAGGLE: lr 0.02 needs ~2.5x the trees and exceeded the ~10-min local budget twice; Kaggle allows 9h. TEST: strict twin of B6 (f64e2781, OOF 0.966384) - only learning_rate differs. GATE: +0.0002 OOF vs B6, same family so no offset adjustment. WATCH: best_iter should reach ~4000-6500; hitting the 8000 cap means under-trained, not converged. IF IT CLEARS: the champion is the 1:1 BLEND (b171c0cf), not B6 alone, so the blend must be rebuilt on this leg with the ratio re-derived by nested CV - a stronger leg that is also more correlated with the XGBoost leg can leave the blend flat or worse."
4886aef5,2026-08-03T14:36:12+00:00,8e02cfc848e68850bf2c1f0fc3109a9373b74f51,,blend,,"blend 6a091632+7ebde432 weights [0.5, 0.5]",,,,,,,0.966969,,,experiments/preds/4886aef5,,blend,,,,,,,,,,,,,,,,"NOT SUBMITTED - did not clear the gate. C1 (lr 0.02) + XGB nested-CV held-out 0.966969 vs the CURRENT CHAMPION blend B6+XGB at 0.966897: delta +0.000073, well under the pre-registered +0.0002. A 3-way B6+C1+XGB was +0.000071, also under. MECHANISM (playbook section 6, strength vs decorrelation, now measured on our own models): C1 beat B6 as a solo leg (+0.000220, which DID clear the gate) but disagrees with the XGBoost leg on only 1.843pct of rows versus B6's 1.931pct against a 1.450pct seed-noise floor. The stronger leg is also the more correlated one, so most of its solo gain is cancelled by the diversity it costs. This is why a leg that clears the gate does not automatically make a better SUBMISSION when the champion is a blend. Artifacts archived so this is retro-blendable if the gate or the leg set changes later."
5daf6c12,2026-08-04T00:34:07+00:00,29fa1a93f915e30f9cf1980389af8d4b8de01355,False,local,,C2: target-encoding inner folds 5->20,485.7,21.0,5.0,42.0,0.966445,0.000467,0.966446,,,experiments/preds/5daf6c12,0.966446,C2_te_inner20,,2109 2491 2125 2380 2327,0.965783 0.966521 0.966849 0.967021 0.966053,42.0,age daily_screen_time_hours social_media_hours gaming_hours work_study_hours sleep_hours notifications_per_day app_opens_per_day weekend_screen_time,,,,,,,,,,,"HYPOTHESIS: a structural mismatch inside the winning lever. Training rows get their encoding from an inner-OOF fit on 80% of the training fold; val and test rows get theirs from a fit on 100% of it. The model therefore learns against a noisier, differently-distributed version of the feature than it is scored on. Raising the inner folds 5->20 shrinks the fitting set gap from 80% to 95% and cuts the variance of the training-row encodings, without weakening the nesting at all (a row still never sees its own label). MECHANISM PREDICTION: if this is real, best_iter should RISE (a cleaner feature supports more trees before overfitting). GATE: +0.0002 OOF over B6 0.966384. Cost is 4x the encoding work, which is bincount-cheap next to the tree fitting."
0c32463c,2026-08-04T00:47:21+00:00,915e1eaba47b944c6ede19c343add273bbf5197b,True,local,,C3: XGBoost max_depth 6->8 on the B6 target-encoded feature set,627.6,21.0,5.0,42.0,0.966634,0.000436,0.966633,,,experiments/preds/0c32463c,,C3_xgb_d8,,849 947 752 970 949,0.965965 0.966792 0.966908 0.967187 0.96632,42.0,age daily_screen_time_hours social_media_hours gaming_hours work_study_hours sleep_hours notifications_per_day app_opens_per_day weekend_screen_time,0.966633,,,,,,,,,,"HYPOTHESIS: the blend screen showed XGBoost is load-bearing -- every blend containing B10x beats every blend without it, and B10x is also the strongest solo leg (0.966632) -- yet it is the ONLY leg never tuned, still at the depth-6 screening default while the LightGBM side has had lr, leaves and TE probes. depth 6 = 64 leaves is plausibly under-capacity for 691k rows with 9 target-encoded columns, and B10x stopped early (872-948 iters) which is consistent with capacity, not overfitting, being the binding constraint. MECHANISM PREDICTION: best_iter should FALL (more capacity per tree = fewer trees). RISK per section 6: a stronger XGB leg may also be a more correlated one, exactly as C1 was on the LightGBM side -- so measure disagreement vs B6, do not assume. GATE: +0.0002 solo OOF over B10x 0.966632 to count as a better leg; shipping still requires the re-derived blend to clear +0.0002 over champion 0.966895."
7c1e9334,2026-08-04T07:17:24+00:00,915e1eaba47b944c6ede19c343add273bbf5197b,True,gcarno/s6e8-model,,D1: CatBoost third leg on the B6 target-encoded feature set (Kaggle kernel),7870.0,21.0,5.0,42.0,0.966892,0.000448,0.96689,,,experiments/preds/7c1e9334,,D1_catboost,,4552 3845 3320 4258 4022,0.966162 0.966945 0.967193 0.967472 0.966689,42.0,age daily_screen_time_hours social_media_hours gaming_hours work_study_hours sleep_hours notifications_per_day app_opens_per_day weekend_screen_time,,0.96689,,,,,,,,,"HYPOTHESIS: the ensemble axis needs a different FAMILY, not a better LightGBM. Offline screening of all 10 pairs and 10 triples over the 5 existing legs found NOTHING clearing +0.0002 over champion 0.966895 (best B7+B10x+C1 at +0.000127); the two LightGBM configs B6/C1 disagree on only 0.975% of rows, BELOW the 1.450% seed-noise floor, i.e. they are near-substitutes. CatBoost differs structurally: symmetric oblivious trees + ordered boosting. MECHANISM PREDICTION: disagreement vs B10x XGBoost ABOVE 1.931%. If below, a family change bought nothing and the ensemble axis is closed. SCREEN: solo OOF within 0.001 of B6 0.966384. GATE (shipping): re-derived blend must clear +0.0002 nested-CV held-out over champion 0.966895."
9e165a90,2026-08-04T07:32:40+00:00,915e1eaba47b944c6ede19c343add273bbf5197b,,blend,,"blend f64e2781+7ebde432+7c1e9334 weights [0.333, 0.333, 0.333]",,,,,,,0.967197,0.96847,,experiments/preds/9e165a90,,blend,,,,,,,,,,,,,,,,"SHIP: champion blend + the CatBoost family. D1 is the first leg to break the section-6 strength/decorrelation tradeoff -- strongest solo (0.966890, above the whole champion BLEND at 0.966902) AND most decorrelated (2.063% vs XGB, above the 1.931% threshold pre-registered before the run). Chosen by a STATED RULE, not by maximum: add the new family to the existing champion, one leg per family, equal weights. All 25 CatBoost-containing blends cleared +0.0002 spanning +0.00027..+0.00038, so picking the argmax would have been the section-5 selection bias -- the spread is noise. Equal weights fit NOTHING. Nested-CV held-out +0.000333; equal-weight full OOF +0.000295 with all 5 folds positive (+0.000276..+0.000331). Predicted LB 0.96882 from offset +0.001620 +/- 0.000143."
b4326a68,2026-08-04T07:38:59+00:00,3cbc0d4f77b8d82e3ee555842acc155fbeb093b8,True,local,,D2: declare the 9 numeric columns categorical (LightGBM screen),201.0,21.0,5.0,42.0,0.96235,0.000486,0.962343,,,experiments/preds/b4326a68,0.962343,D2_num_as_cat,,322 406 451 527 547,0.961757 0.962094 0.96286 0.962993 0.962046,42.0,age daily_screen_time_hours social_media_hours gaming_hours work_study_hours sleep_hours notifications_per_day app_opens_per_day weekend_screen_time,,,,,,,,,,,"HYPOTHESIS: acts directly on the central EDA finding. notifications_per_day carries per-value positive rates spanning 0.119..0.986 while Pearson(value, rate) = -0.044 and only 47.8% of consecutive steps increase -- a LOOKUP TABLE, not a function. That is why its solo AUC is 0.492 yet it ranks 1st on split usage, and why B1's ratio feature failed (a ratio is a monotone transform and cannot represent a lookup). If the values are labels rather than magnitudes then ordered axis-aligned splits are the wrong tool and a categorical many-vs-many split is the right one. This is the UNSUPERVISED lever for the structure that the supervised lever (B6 target encoding) already exploited for +0.003 -- so the honest prior is that TE has already extracted most of it and this is largely redundant. MECHANISM PREDICTION: if it is redundant, the __te columns keep their split share and the score barely moves; if it is complementary, split usage shifts toward the raw categorical columns. GATE: +0.0002 OOF over B6 0.966384. This is a CHEAP LightGBM screen for whether the far more expensive CatBoost version (2.2h/kernel, ordered target statistics) is worth a cycle."
2b876e0b,2026-08-04T07:43:50+00:00,3cbc0d4f77b8d82e3ee555842acc155fbeb093b8,True,local,,D2b: categorical ONLY for the two lookup-table columns,202.4,21.0,5.0,42.0,0.96455,0.000496,0.964549,,,experiments/preds/2b876e0b,0.964549,D2b_lookup_cols_as_cat,,551 504 558 464 440,0.96391 0.964559 0.964967 0.965215 0.964101,42.0,age daily_screen_time_hours social_media_hours gaming_hours work_study_hours sleep_hours notifications_per_day app_opens_per_day weekend_screen_time,,,,,,,,,,,"HYPOTHESIS: D2 was right about the structure and wrong about the scope. Declaring all nine numerics categorical cost -0.004041 and collapsed best_iter 1860->450, because seven of them are strongly MONOTONE -- daily_screen_time_hours 0.8896 solo AUC over 1389 levels, weekend_screen_time 0.8810 over 1437 -- so categorifying them discards genuine ordinal signal AND creates a 1400-level feature LightGBM overfits. The lookup-table property belongs only to notifications_per_day (solo 0.4921, 231 levels) and app_opens_per_day (0.5409, 166 levels), which are exactly the two columns that rank 1st and 2nd on split usage despite near-chance marginal AUC. Restrict the treatment to those two. MECHANISM PREDICTION: best_iter should return to the ~1800 range, since the overfitting driver was the 1400-level screen-time columns and not the 166/231-level ones. GATE: +0.0002 OOF over B6 0.966384. HONEST PRIOR: still low, because B6 target encoding is the SUPERVISED lever on this same structure and already took +0.003 out of it."
